burnin	sample_size	asdsf	psrf_tree_length	psrf_root_height	psrf_root_pop_size	ess_tree_length	ess_root_height	ess_root_pop_size
1	5000	0.00598136	1.00118	0.999935	0.999894	1460.54	571.263	1828.64
101	4500	0.00324551	0.999625	0.999552	1.00079	3983.92	4295.37	1489.44
201	4000	0.00434185	0.999446	0.999519	1.00104	3361.66	3961.38	1587.53
301	3500	0.00452631	0.999504	0.999669	1.00048	3321.89	3343.96	1802.36
401	3000	0.00494889	1.00027	1.00031	0.999694	2769.14	3000	1222.71
501	2500	0.00521996	1.00009	1.00057	1.00015	1889.4	2159.56	1041.06
601	2000	0.00693293	1.00064	1.00025	1.00184	1433.96	2000	1463.45
701	1500	0.00659006	0.999508	1.00143	0.999267	1500	1500	905.861
801	1000	0.00524429	0.999566	1.00152	0.999306	1000	972.43	694.432
901	500	0.00452616	0.997111	0.99935	1.00759	468.451	479.05	352.226
